osm_id,osm_type,category,name,name_zh,name_en,brand,opening_hours,wheelchair,air_conditioning,latitude,longitude
9892596363,node,tourist_attraction,後寮村東港舊碼頭整建工程碑,後寮村東港舊碼頭整建工程碑,,,,,,23.6757313,119.579013
9900871056,node,tourist_attraction,五孔頂,五孔頂,,,,,,23.5798833,119.5101916
9900871082,node,food_and_drink,三山商號功夫刈包,三山商號功夫刈包,,,,,,23.564737,119.4795283
9901895015,node,tourist_attraction,風櫃尾荷蘭城堡遺址石碑,風櫃尾荷蘭城堡遺址石碑,,,,,,23.5527087,119.5478012
9901895016,node,tourist_attraction,法軍陣亡將士碑,法軍陣亡將士碑,Monument to Fallen French Officers,,,,,23.5510232,119.5474015
10073042785,node,food_and_drink,福春豆花伯,福春豆花伯,,,,,,23.254671,119.6690382
10101235413,node,food_and_drink,壹咖啡,壹咖啡,,,,,,23.5633948,119.5649307
10201626732,node,tourist_attraction,洪根深美術館,洪根深美術館,,,,,,23.5644833,119.5636646
10201626744,node,tourist_attraction,澎湖海洋資源館,澎湖海洋資源館,,,,,,23.5711835,119.5780677
10832926777,node,tourist_attraction,土地公,土地公,,,,,,23.2603957,119.5148414
10832930514,node,tourist_attraction,前嶼坪國小大門,前嶼坪國小大門,,,,,,23.2564376,119.5123488
10844237194,node,tourist_attraction,俯瞰,俯瞰,,,,,,23.2598866,119.5161818
10844894600,node,tourist_attraction,俯瞰,俯瞰,,,,,,23.2629079,119.5165119
10859486178,node,tourist_attraction,玉天祠,玉天祠,,,,,,23.1965126,119.4292118
10860031311,node,food_and_drink,七美極品鹽水雞,七美極品鹽水雞,,,,,,23.1963448,119.4208636
10866434057,node,tourist_attraction,俯看大獅與龍埕,俯看大獅與龍埕,,,,,,23.2018458,119.4352944
11251954717,node,convenience_store,全家便利商店,全家便利商店,FamilyMart,全家便利商店,24/7,,,23.5636322,119.5670988
11252135441,node,food_and_drink,Louisa Café,Louisa Café,Louisa Café,,,,,23.5656124,119.5649296
11261727260,node,food_and_drink,村莊-打章魚,村莊-打章魚,,,,,,23.6470541,119.6325825
11447375142,node,tourist_attraction,大倉北營頭,大倉北營頭,Datsang Northern Camp General Stele,,,,,23.6188983,119.567822
